% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              26741
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
47750           15000          -17400         1299.359041    2.803287e5     3.92196e8
47750           15000          -17200         1299.290784    2.817574e5     3.87688e8
47750           15000          -7600          1239.41742     5.688766e5     1.71304e8
47750           15000          -7400          1233.676927    5.96009e5      1.66796e8
47750           15000          -7300          1230.80668     6.101304e5     1.64542e8
47750           15000          -7200          1227.936434    6.246366e5     1.62288e8
47750           15000          -7100          1225.066188    6.395391e5     1.60034e8
47750           15000          -7000          1222.195941    6.527307e5     1.5778e8
47750           15000          -6900          1217.801368    6.734107e5     1.55526e8
47750           15000          -6800          1213.406796    6.971444e5     1.53272e8
47750           15000          -6700          1209.012223    7.218556e5     1.51018e8
47750           15000          -6600          1204.61765     7.475893e5     1.48764e8
47750           15000          -6400          1195.828505    8.023149e5     1.44256e8
47750           15000          -18400         1299.617321    2.717238e5     4.14736e8
48000           15000          -36500         1300.000923    1.745966e5     8.2271e8
48000           15000          -33500         1299.999006    1.867885e5     7.5509e8
48000           15000          -35500         1300.001348    1.773948e5     8.0017e8
48000           15000          -35000         1300.001561    1.79977e5      7.889e8
48000           15000          -34500         1300.000709    1.830998e5     7.7763e8
